Function,Algorithm,Run,Best
F2,PSO,6,1.400740e+08
F2,PSO,7,1.176048e+05
F2,PSO,8,6.829241e+09
F2,PSO,9,3.968534e+09
F2,PSO,10,7.522504e+09
F2,PSO,11,3.305482e+06
F2,PSO,12,3.052213e+11
F2,PSO,13,2.300679e+06
F2,PSO,14,1.203262e+04
F2,PSO,15,7.172230e+05
F2,DE,1,1.664646e+02
F2,DE,2,1.391978e+02
F2,DE,3,1.080085e+02
F2,DE,4,9.747319e+01
F2,DE,5,1.437225e+02
F2,DE,6,1.794864e+02
F2,DE,7,1.313401e+02
F2,DE,8,1.142733e+02
F2,DE,9,1.081906e+02
F2,DE,10,1.056032e+02
F2,DE,11,5.700399e+02
F2,DE,12,1.324502e+02
F2,DE,13,1.196765e+02
F2,DE,14,1.232664e+02
F2,DE,15,1.429242e+02
F2,L-SHADE,1,1.296640e+07
F2,L-SHADE,2,1.489936e+07
F2,L-SHADE,3,9.175180e+02
F2,L-SHADE,4,4.604510e+07
F2,L-SHADE,5,6.950025e+06
F2,L-SHADE,6,5.357104e+06
F2,L-SHADE,7,2.225922e+05
F2,L-SHADE,8,5.741770e+04
F2,L-SHADE,9,1.231057e+03
F2,L-SHADE,10,6.669847e+02
F2,L-SHADE,11,9.781402e+03
F2,L-SHADE,12,8.670202e+02
F2,L-SHADE,13,6.885932e+04
F2,L-SHADE,14,1.696364e+05
F2,L-SHADE,15,9.062512e+02
F2,GWO,1,1.179316e+02
F2,GWO,2,1.200653e+02
F2,GWO,3,9.488107e+01
F2,GWO,4,3.373170e+03
F2,GWO,5,1.288505e+02
F2,GWO,6,2.520912e+15
F2,GWO,7,1.260434e+03
F2,GWO,8,1.064819e+02
F2,GWO,9,1.333955e+03
F2,GWO,10,1.339833e+02
F2,GWO,11,9.140223e+03
F2,GWO,12,1.311502e+03
F2,GWO,13,5.174354e+03
F2,GWO,14,1.406121e+07
F2,GWO,15,2.651602e+11
F2,WOA,1,3.511880e+01
F2,WOA,2,2.702789e+01
F2,WOA,3,2.409849e+01
F2,WOA,4,2.691020e+01
F2,WOA,5,2.754850e+01
F2,WOA,6,1.054663e+02
F2,WOA,7,8.059069e+01
F2,WOA,8,4.931825e+01
F2,WOA,9,3.457085e+01
F2,WOA,10,2.728306e+01
F2,WOA,11,3.471640e+01
F2,WOA,12,2.382521e+01
F2,WOA,13,3.597898e+01
F2,WOA,14,8.171501e+01
F2,WOA,15,9.065617e+01
F2,TPE,1,1.340215e+05
F2,TPE,2,2.003679e+02
F2,TPE,3,2.737253e+05
F2,TPE,4,1.177491e+02
F2,TPE,5,1.192012e+02
F2,TPE,6,1.670391e+02
F2,TPE,7,1.670226e+03
F2,TPE,8,1.247076e+03
F2,TPE,9,8.006765e+02
F2,TPE,10,8.986383e+01
F2,TPE,11,2.525038e+02
F2,TPE,12,1.369863e+02
F2,TPE,13,3.689006e+02
F2,TPE,14,1.838650e+04
F2,TPE,15,2.077706e+03
F3,IFPOA-X,1,2.637216e+05
F3,IFPOA-X,2,2.491302e+05
F3,IFPOA-X,3,1.687876e+06
F3,IFPOA-X,4,8.911281e+05
F3,IFPOA-X,5,7.989457e+05
F3,IFPOA-X,6,1.207851e+06
F3,IFPOA-X,7,7.581532e+05
F3,IFPOA-X,8,9.779629e+04
F3,IFPOA-X,9,8.216089e+05
F3,IFPOA-X,10,5.674651e+05
F3,IFPOA-X,11,1.775509e+05
F3,IFPOA-X,12,2.777360e+05
F3,IFPOA-X,13,4.291183e+05
F3,IFPOA-X,14,8.980695e+05
F3,IFPOA-X,15,7.470550e+04
F3,FPA,1,2.359947e+07
F3,FPA,2,1.968595e+07
F3,FPA,3,2.299803e+07
F3,FPA,4,1.678821e+07
F3,FPA,5,2.505121e+07
F3,FPA,6,2.649860e+07
F3,FPA,7,2.525876e+07
F3,FPA,8,2.768918e+07
F3,FPA,9,1.726745e+07
F3,FPA,10,2.423750e+07
F3,FPA,11,1.899511e+07
F3,FPA,12,2.607652e+07
F3,FPA,13,2.308311e+07
F3,FPA,14,2.536668e+07
F3,FPA,15,2.918782e+07
F3,PSO,1,1.455473e+06
F3,PSO,2,1.337492e+05
F3,PSO,3,1.654469e+06
F3,PSO,4,1.323777e+05
F3,PSO,5,3.593624e+05
F3,PSO,6,1.332755e+05
F3,PSO,7,1.442129e+06
F3,PSO,8,7.207394e+05
F3,PSO,9,3.245576e+05
F3,PSO,10,1.879813e+05
F3,PSO,11,2.858759e+06
F3,PSO,12,3.361489e+05
F3,PSO,13,5.093753e+06
F3,PSO,14,2.318071e+05
F3,PSO,15,3.397519e+05
F3,DE,1,5.956996e+06
F3,DE,2,3.353428e+06
F3,DE,3,4.088011e+06
F3,DE,4,9.215676e+05
F3,DE,5,3.080202e+06
F3,DE,6,5.958271e+06
F3,DE,7,9.158663e+05
F3,DE,8,7.965184e+06
F3,DE,9,9.217842e+06
F3,DE,10,1.468808e+06
F3,DE,11,3.043093e+06
F3,DE,12,4.211333e+06
F3,DE,13,4.646014e+06
F3,DE,14,2.548171e+06
F3,DE,15,4.959942e+06
F3,L-SHADE,1,1.351638e+06
F3,L-SHADE,2,2.639555e+05
F3,L-SHADE,3,1.114502e+05
F3,L-SHADE,4,2.828004e+05
F3,L-SHADE,5,2.179998e+05
F3,L-SHADE,6,8.716344e+05
F3,L-SHADE,7,1.045533e+05
F3,L-SHADE,8,5.734334e+05
F3,L-SHADE,9,3.409690e+05
F3,L-SHADE,10,4.912808e+04
F3,L-SHADE,11,7.925152e+04
F3,L-SHADE,12,1.908093e+05
F3,L-SHADE,13,4.791321e+04
F3,L-SHADE,14,3.115386e+04
F3,L-SHADE,15,1.955313e+05
F3,GWO,1,4.515814e+05
F3,GWO,2,6.604255e+05
F3,GWO,3,2.911085e+05
F3,GWO,4,3.044967e+05
F3,GWO,5,1.488035e+05
F3,GWO,6,3.509459e+05
F3,GWO,7,6.602123e+05
F3,GWO,8,2.396371e+05
F3,GWO,9,5.137122e+05
F3,GWO,10,1.727989e+05
F3,GWO,11,1.152669e+05
F3,GWO,12,2.843154e+05
F3,GWO,13,3.540911e+05
F3,GWO,14,2.299536e+05
F3,GWO,15,2.038944e+06
F3,WOA,1,1.437996e+05
F3,WOA,2,7.606544e+04
F3,WOA,3,5.214210e+04
F3,WOA,4,6.753501e+04
F3,WOA,5,9.162335e+04
F3,WOA,6,4.306826e+04
F3,WOA,7,6.320052e+04
F3,WOA,8,5.380836e+04
F3,WOA,9,9.962569e+04
F3,WOA,10,6.740971e+04
F3,WOA,11,6.142378e+04
F3,WOA,12,8.825773e+04
F3,WOA,13,7.907036e+04
F3,WOA,14,1.178261e+05
F3,WOA,15,4.771460e+04
F3,TPE,1,4.651298e+06
F3,TPE,2,1.991513e+06
F3,TPE,3,3.020341e+06
F3,TPE,4,2.921201e+06
F3,TPE,5,2.911298e+06
F3,TPE,6,4.016880e+06
F3,TPE,7,1.083044e+06
F3,TPE,8,1.284190e+06
F3,TPE,9,2.271736e+06
F3,TPE,10,3.148201e+06
F3,TPE,11,3.294555e+06
F3,TPE,12,4.446057e+06
F3,TPE,13,4.098387e+06
F3,TPE,14,4.831628e+06
F3,TPE,15,1.113433e+06
F4,IFPOA-X,1,1.137763e+02
F4,IFPOA-X,2,1.123975e+02
F4,IFPOA-X,3,9.188014e+01
F4,IFPOA-X,4,8.738570e+01
F4,IFPOA-X,5,8.775422e+01
F4,IFPOA-X,6,1.137650e+02
F4,IFPOA-X,7,1.183465e+02
F4,IFPOA-X,8,8.549984e+01
F4,IFPOA-X,9,8.328966e+01
F4,IFPOA-X,10,9.019784e+01
F4,IFPOA-X,11,8.463846e+01
F4,IFPOA-X,12,8.716085e+01
F4,IFPOA-X,13,1.072855e+02
F4,IFPOA-X,14,8.742148e+01
F4,IFPOA-X,15,8.893383e+01
F4,FPA,1,9.993597e+01
F4,FPA,2,8.910317e+01
F4,FPA,3,9.915551e+01
F4,FPA,4,9.474002e+01
F4,FPA,5,1.024116e+02
F4,FPA,6,9.010690e+01
F4,FPA,7,1.007527e+02
F4,FPA,8,9.670611e+01
F4,FPA,9,9.755139e+01
F4,FPA,10,9.919366e+01
