Function,Algorithm,Run,Best
F1,TPE,17,2.807201e+04
F1,TPE,18,3.442068e+04
F1,TPE,19,2.758499e+04
F1,TPE,20,4.109400e+04
F2,IFPOA-X,1,1.033031e+07
F2,IFPOA-X,2,2.704327e+07
F2,IFPOA-X,3,1.017349e+05
F2,IFPOA-X,4,9.082643e+05
F2,IFPOA-X,5,7.151523e+03
F2,IFPOA-X,6,5.345765e+02
F2,IFPOA-X,7,2.685962e+07
F2,IFPOA-X,8,1.266095e+02
F2,IFPOA-X,9,2.460560e+07
F2,IFPOA-X,10,2.570097e+04
F2,IFPOA-X,11,5.195257e+04
F2,IFPOA-X,12,7.899244e+04
F2,IFPOA-X,13,8.874968e+05
F2,IFPOA-X,14,9.187283e+06
F2,IFPOA-X,15,8.387155e+07
F2,IFPOA-X,16,1.824644e+06
F2,IFPOA-X,17,2.163857e+07
F2,IFPOA-X,18,2.924034e+06
F2,IFPOA-X,19,1.484783e+03
F2,IFPOA-X,20,3.317332e+03
F2,FPA,1,2.832793e+05
F2,FPA,2,2.870858e+05
F2,FPA,3,4.832618e+08
F2,FPA,4,2.259727e+02
F2,FPA,5,2.183526e+05
F2,FPA,6,1.170120e+02
F2,FPA,7,3.401314e+05
F2,FPA,8,5.748589e+10
F2,FPA,9,8.241675e+05
F2,FPA,10,1.147429e+04
F2,FPA,11,1.983257e+06
F2,FPA,12,4.993569e+03
F2,FPA,13,4.037390e+07
F2,FPA,14,8.700256e+03
F2,FPA,15,6.254149e+10
F2,FPA,16,1.122567e+09
F2,FPA,17,2.545183e+08
F2,FPA,18,1.499633e+06
F2,FPA,19,2.831630e+03
F2,FPA,20,5.371961e+09
F2,PSO,1,7.495314e+02
F2,PSO,2,8.094138e+03
F2,PSO,3,1.040488e+02
F2,PSO,4,2.965878e+04
F2,PSO,5,1.879398e+04
F2,PSO,6,2.065271e+04
F2,PSO,7,1.411416e+02
F2,PSO,8,2.479365e+04
F2,PSO,9,1.161806e+02
F2,PSO,10,9.153151e+04
F2,PSO,11,2.063879e+02
F2,PSO,12,5.882430e+05
F2,PSO,13,4.281985e+02
F2,PSO,14,2.905157e+05
F2,PSO,15,1.110774e+02
F2,PSO,16,4.810584e+03
F2,PSO,17,7.165934e+03
F2,PSO,18,5.590018e+03
F2,PSO,19,8.180707e+01
F2,PSO,20,7.080894e+04
F2,DE,1,1.065481e+02
F2,DE,2,9.849488e+01
F2,DE,3,8.182944e+01
F2,DE,4,9.195716e+01
F2,DE,5,8.216916e+01
F2,DE,6,8.558872e+01
F2,DE,7,9.847515e+01
F2,DE,8,9.803050e+01
F2,DE,9,1.024594e+02
F2,DE,10,8.981407e+01
F2,DE,11,1.250532e+02
F2,DE,12,6.525140e+01
F2,DE,13,7.900473e+01
F2,DE,14,7.396960e+01
F2,DE,15,7.916064e+01
F2,DE,16,7.214886e+01
F2,DE,17,9.565740e+01
F2,DE,18,9.417180e+01
F2,DE,19,1.221483e+02
F2,DE,20,1.097284e+02
F2,L-SHADE,1,8.401856e+01
F2,L-SHADE,2,7.237117e+02
F2,L-SHADE,3,1.507166e+06
F2,L-SHADE,4,2.457624e+02
F2,L-SHADE,5,6.846505e+01
F2,L-SHADE,6,8.452192e+03
F2,L-SHADE,7,4.290773e+02
F2,L-SHADE,8,1.030704e+02
F2,L-SHADE,9,8.747275e+01
F2,L-SHADE,10,6.706321e+01
F2,L-SHADE,11,1.306891e+03
F2,L-SHADE,12,8.717904e+01
F2,L-SHADE,13,1.912594e+04
F2,L-SHADE,14,2.112918e+03
F2,L-SHADE,15,4.595307e+05
F2,L-SHADE,16,5.503499e+02
F2,L-SHADE,17,9.775733e+01
F2,L-SHADE,18,1.357943e+02
F2,L-SHADE,19,6.263487e+06
F2,L-SHADE,20,2.793466e+04
F2,GWO,1,5.679104e+01
F2,GWO,2,4.867637e+07
F2,GWO,3,4.835272e+01
F2,GWO,4,1.817486e+04
F2,GWO,5,4.683690e+01
F2,GWO,6,8.477042e+01
F2,GWO,7,6.242710e+01
F2,GWO,8,3.355349e+03
F2,GWO,9,2.288787e+02
F2,GWO,10,9.481963e+01
F2,GWO,11,6.882227e+01
F2,GWO,12,6.464634e+01
F2,GWO,13,7.840968e+01
F2,GWO,14,5.218632e+01
F2,GWO,15,9.657282e+01
F2,GWO,16,5.633940e+01
F2,GWO,17,7.203367e+01
F2,GWO,18,9.742491e+01
F2,GWO,19,9.543252e+01
F2,GWO,20,9.607296e+01
F2,WOA,1,1.392947e+04
F2,WOA,2,8.389581e+01
F2,WOA,3,2.677441e+04
F2,WOA,4,1.113274e+02
F2,WOA,5,9.744368e+01
F2,WOA,6,3.341121e+01
F2,WOA,7,5.765021e+04
F2,WOA,8,7.674345e+01
F2,WOA,9,8.866516e+01
F2,WOA,10,3.981042e+02
F2,WOA,11,8.209928e+01
F2,WOA,12,7.392117e+01
F2,WOA,13,1.896755e+03
F2,WOA,14,1.558462e+05
F2,WOA,15,6.675441e+01
F2,WOA,16,2.921736e+01
F2,WOA,17,2.675244e+02
F2,WOA,18,4.578333e+01
F2,WOA,19,7.306110e+02
F2,WOA,20,2.239241e+02
F2,TPE,1,1.392039e+02
F2,TPE,2,7.884617e+01
F2,TPE,3,1.457574e+04
F2,TPE,4,2.086807e+03
F2,TPE,5,8.829029e+01
