Function,Variant,Run,Best
F3,IFPOA-X (base/FPA),6,1.000807e+05
F3,IFPOA-X (base/FPA),7,4.980373e+04
F3,IFPOA-X (base/FPA),8,7.135777e+04
F3,IFPOA-X (base/FPA),9,1.298373e+05
F3,IFPOA-X (base/FPA),10,9.647046e+04
F3,IFPOA-X (base/FPA),11,9.613661e+04
F3,IFPOA-X (base/FPA),12,6.569794e+04
F3,IFPOA-X (base/FPA),13,6.044145e+04
F3,IFPOA-X (base/FPA),14,9.924919e+04
F3,IFPOA-X (base/FPA),15,9.894276e+04
F3,IFPOA-X (base/FPA),16,1.520180e+05
F3,IFPOA-X (base/FPA),17,1.005345e+05
F3,IFPOA-X (base/FPA),18,9.846108e+04
F3,IFPOA-X (base/FPA),19,8.129271e+04
F3,IFPOA-X (base/FPA),20,7.684341e+04
F4,IFPOA-X (no OBL),1,9.980207e+01
F4,IFPOA-X (no OBL),2,8.931591e+01
F4,IFPOA-X (no OBL),3,7.674262e+01
F4,IFPOA-X (no OBL),4,9.369583e+01
F4,IFPOA-X (no OBL),5,9.963170e+01
F4,IFPOA-X (no OBL),6,8.464090e+01
F4,IFPOA-X (no OBL),7,1.006110e+02
F4,IFPOA-X (no OBL),8,7.306022e+01
F4,IFPOA-X (no OBL),9,8.344656e+01
F4,IFPOA-X (no OBL),10,9.976035e+01
F4,IFPOA-X (no OBL),11,8.553291e+01
F4,IFPOA-X (no OBL),12,9.035683e+01
F4,IFPOA-X (no OBL),13,9.656702e+01
F4,IFPOA-X (no OBL),14,8.802403e+01
F4,IFPOA-X (no OBL),15,8.896168e+01
F4,IFPOA-X (no OBL),16,8.945597e+01
F4,IFPOA-X (no OBL),17,9.814337e+01
F4,IFPOA-X (no OBL),18,9.336193e+01
F4,IFPOA-X (no OBL),19,9.823472e+01
F4,IFPOA-X (no OBL),20,9.388482e+01
F4,IFPOA-X (base/FPA),1,9.300945e+01
F4,IFPOA-X (base/FPA),2,7.795771e+01
F4,IFPOA-X (base/FPA),3,7.609056e+01
F4,IFPOA-X (base/FPA),4,9.779424e+01
F4,IFPOA-X (base/FPA),5,8.782145e+01
F4,IFPOA-X (base/FPA),6,7.642803e+01
F4,IFPOA-X (base/FPA),7,9.408345e+01
F4,IFPOA-X (base/FPA),8,9.460315e+01
F4,IFPOA-X (base/FPA),9,9.440397e+01
F4,IFPOA-X (base/FPA),10,7.603727e+01
F4,IFPOA-X (base/FPA),11,9.906448e+01
F4,IFPOA-X (base/FPA),12,8.876977e+01
F4,IFPOA-X (base/FPA),13,8.310613e+01
F4,IFPOA-X (base/FPA),14,8.568298e+01
F4,IFPOA-X (base/FPA),15,1.095920e+02
F4,IFPOA-X (base/FPA),16,1.026554e+02
F4,IFPOA-X (base/FPA),17,9.166530e+01
F4,IFPOA-X (base/FPA),18,9.352769e+01
F4,IFPOA-X (base/FPA),19,8.242282e+01
F4,IFPOA-X (base/FPA),20,8.101084e+01
F5,IFPOA-X (no OBL),1,6.895973e+07
F5,IFPOA-X (no OBL),2,6.324625e+07
