Function,Algorithm,Best,Worst,Mean,Std,Median
F6,IFPOA-X,2.718800e+04,4.774700e+04,3.560213e+04,5.871874e+03,3.603100e+04
F6,L-SHADE,1.207400e+04,2.607900e+04,1.726987e+04,3.903707e+03,1.647400e+04
F6,PSO,1.192100e+04,3.171900e+04,2.421447e+04,5.301024e+03,2.301400e+04
F6,TPE,1.354000e+04,4.930200e+04,3.211287e+04,8.632970e+03,3.332700e+04
F6,WOA,2.873400e+04,5.383300e+04,4.296273e+04,7.570981e+03,4.614200e+04
F7,DE,4.306623e+01,1.659672e+02,1.035797e+02,4.131443e+01,9.784524e+01
F7,FPA,3.418051e+01,1.300613e+02,7.469296e+01,2.746707e+01,6.901339e+01
F7,GWO,3.054823e+00,2.691291e+01,1.187011e+01,7.755302e+00,9.383909e+00
F7,IFPOA-X,2.646925e+01,7.097669e+01,4.764155e+01,1.491530e+01,4.209064e+01
F7,L-SHADE,5.242313e+00,3.209414e+01,1.653860e+01,7.827088e+00,1.530269e+01
F7,PSO,9.549547e+00,7.233062e+01,2.644145e+01,1.620830e+01,2.227714e+01
F7,TPE,1.382865e+01,6.601631e+01,3.274209e+01,1.638117e+01,3.083663e+01
F7,WOA,4.167696e+01,1.064837e+02,9.143619e+01,1.640975e+01,9.613885e+01
F9,DE,2.474885e+02,3.741060e+02,2.996624e+02,4.278548e+01,2.850941e+02
F9,FPA,3.149882e+02,4.363991e+02,3.686797e+02,3.025804e+01,3.708019e+02
F9,GWO,1.906505e+02,3.296067e+02,2.571233e+02,4.382868e+01,2.628384e+02
F9,IFPOA-X,3.099883e+02,3.884392e+02,3.523772e+02,2.331809e+01,3.507682e+02
F9,L-SHADE,2.449416e+02,3.697228e+02,3.048105e+02,3.729003e+01,3.002669e+02
F9,PSO,2.805005e+02,4.129123e+02,3.405817e+02,4.058838e+01,3.360255e+02
F9,TPE,2.788684e+02,3.933572e+02,3.264146e+02,3.413968e+01,3.194592e+02
F9,WOA,3.292324e+02,5.293385e+02,4.095729e+02,5.557823e+01,3.988284e+02
