Function,Algorithm,Best,Worst,Mean,Std,Median
F1,DE,1.097344e+04,3.394831e+04,2.436911e+04,5.683278e+03,2.501103e+04
F1,FPA,3.492642e+03,9.321645e+03,4.791223e+03,1.382351e+03,4.471586e+03
F1,GWO,3.656548e+02,3.102360e+03,1.280355e+03,6.265813e+02,1.166687e+03
F1,IFPOA-X,1.729961e-04,8.553477e+00,1.810679e+00,2.680684e+00,1.266504e-01
F1,L-SHADE,5.122184e+03,1.076031e+04,7.774494e+03,1.438833e+03,7.627830e+03
F1,PSO,2.044889e+03,4.970826e+03,3.615858e+03,8.760636e+02,3.666471e+03
F1,TPE,1.933206e+04,3.675679e+04,2.856210e+04,4.584214e+03,2.809858e+04
F1,WOA,6.791217e+00,2.498551e+02,7.410924e+01,6.298133e+01,5.295749e+01
F10,DE,1.574370e+01,1.896043e+01,1.804975e+01,6.713568e-01,1.812242e+01
F10,FPA,1.135345e+01,1.534182e+01,1.290527e+01,1.083851e+00,1.281955e+01
F10,GWO,7.034775e+00,1.023205e+01,8.700358e+00,9.021124e-01,8.725437e+00
F10,IFPOA-X,2.906072e-03,1.560410e+00,4.672226e-01,4.942379e-01,2.516246e-01
F10,L-SHADE,1.332677e+01,1.642996e+01,1.539722e+01,8.263520e-01,1.555518e+01
F10,PSO,1.056131e+01,1.390154e+01,1.223093e+01,9.276891e-01,1.210633e+01
F10,TPE,1.784835e+01,1.924702e+01,1.851886e+01,3.437605e-01,1.853849e+01
F10,WOA,1.136202e-05,7.057375e+00,3.347474e+00,2.150513e+00,3.261418e+00
F11,DE,9.976092e+01,3.065348e+02,2.203220e+02,5.114952e+01,2.260993e+02
F11,FPA,3.243378e+01,8.489480e+01,4.412101e+01,1.244116e+01,4.124428e+01
F11,GWO,4.290893e+00,2.892124e+01,1.252320e+01,5.639231e+00,1.150019e+01
F11,IFPOA-X,8.071875e-04,1.913061e+00,6.955045e-01,5.117274e-01,6.085353e-01
F11,L-SHADE,4.709965e+01,9.784279e+01,7.097044e+01,1.294949e+01,6.965047e+01
F11,PSO,1.940400e+01,4.573744e+01,3.354273e+01,7.884568e+00,3.399824e+01
F11,TPE,1.749886e+02,3.318112e+02,2.580589e+02,4.125793e+01,2.538872e+02
F11,WOA,1.061121e+00,3.248696e+00,1.666971e+00,5.668437e-01,1.476627e+00
F12,DE,2.108204e+07,1.065487e+08,5.054811e+07,2.354070e+07,4.708408e+07
F12,FPA,3.737686e+01,1.093028e+06,1.051134e+05,2.474265e+05,1.197895e+04
F12,GWO,1.177078e+01,7.647183e+01,3.648037e+01,1.970699e+01,3.863701e+01
F12,IFPOA-X,9.241923e-01,6.650222e+00,1.572478e+00,1.244300e+00,1.307669e+00
F12,L-SHADE,4.480219e+04,1.073527e+07,2.807624e+06,2.556624e+06,2.165736e+06
F12,PSO,3.722537e+01,9.506905e+04,1.231519e+04,2.766458e+04,2.314878e+03
F12,TPE,1.916596e+07,1.317745e+08,7.030126e+07,3.258875e+07,6.876488e+07
F12,WOA,5.522133e-01,6.067163e+07,6.029210e+06,1.464220e+07,4.112072e+05
F13,DE,6.601359e+07,3.608875e+08,1.608262e+08,6.764131e+07,1.524550e+08
F13,FPA,5.535932e+04,1.119924e+07,1.801439e+06,2.564369e+06,1.078206e+06
F13,GWO,5.972566e+01,3.857170e+05,5.105822e+04,9.126598e+04,1.744344e+04
F13,IFPOA-X,2.883688e+00,4.282643e+00,3.275219e+00,3.815662e-01,3.160637e+00
F13,L-SHADE,3.955706e+05,4.411723e+07,1.307041e+07,1.043281e+07,9.716489e+06
F13,PSO,4.001233e+04,3.519769e+06,7.989877e+05,8.573713e+05,5.368692e+05
F13,TPE,1.043399e+08,2.472097e+08,1.736020e+08,3.526850e+07,1.761142e+08
F13,WOA,1.602926e+00,4.877523e+07,6.477302e+06,1.561758e+07,3.294432e+04
F2,DE,5.441116e+01,9.048111e+01,6.982245e+01,1.089451e+01,6.962224e+01
F2,FPA,2.602779e+01,4.707318e+01,3.465789e+01,5.980643e+00,3.350368e+01
F2,GWO,1.070274e+01,2.596358e+01,1.699745e+01,4.212351e+00,1.683895e+01
F2,IFPOA-X,7.377428e-04,4.784794e-01,1.179630e-01,1.508727e-01,2.978993e-02
F2,L-SHADE,3.935255e+01,7.615057e+01,5.605285e+01,8.874413e+00,5.599900e+01
F2,PSO,2.312019e+01,4.738956e+01,3.174102e+01,6.135266e+00,2.972897e+01
F2,TPE,6.393432e+01,1.247959e+02,8.716224e+01,1.833807e+01,8.242351e+01
F2,WOA,3.558994e-01,5.625780e+00,1.359906e+00,1.181833e+00,1.033697e+00
F3,DE,2.308528e+04,6.367461e+04,3.580469e+04,9.538092e+03,3.304931e+04
F3,FPA,6.512636e+03,2.231978e+04,1.379146e+04,4.768999e+03,1.395360e+04
F3,GWO,6.106426e+03,2.277005e+04,1.345425e+04,4.464335e+03,1.265974e+04
F3,IFPOA-X,1.352911e-04,1.693212e+04,2.046482e+03,3.826756e+03,9.863591e+02
F3,L-SHADE,2.729477e+04,5.377952e+04,3.733944e+04,7.136595e+03,3.719565e+04
F3,PSO,6.049502e+03,2.601641e+04,1.216385e+04,4.789602e+03,1.180067e+04
F3,TPE,2.125797e+04,5.863591e+04,4.206489e+04,9.335255e+03,4.253657e+04
F3,WOA,5.163974e+04,1.903872e+05,1.162948e+05,4.211148e+04,1.063579e+05
F4,DE,5.653379e+01,6.901775e+01,6.342421e+01,3.783885e+00,6.277726e+01
F4,FPA,1.687983e+01,3.761050e+01,2.897320e+01,5.347968e+00,3.021598e+01
F4,GWO,2.120395e+01,4.001353e+01,3.071039e+01,5.376660e+00,3.113877e+01
F4,IFPOA-X,8.952560e-01,1.022429e+01,4.577341e+00,2.882598e+00,3.926613e+00
F4,L-SHADE,4.606026e+01,6.380388e+01,5.438614e+01,4.678283e+00,5.434101e+01
F4,PSO,1.750095e+01,3.344720e+01,2.586645e+01,4.086573e+00,2.644043e+01
F4,TPE,5.381840e+01,7.276695e+01,6.633432e+01,4.360926e+00,6.652341e+01
F4,WOA,6.319212e+01,8.930065e+01,8.206473e+01,6.557392e+00,8.450738e+01
F5,DE,1.112846e+07,6.909676e+07,4.283948e+07,1.434556e+07,4.404941e+07
F5,FPA,3.849285e+05,5.640348e+06,1.515181e+06,1.143746e+06,1.199645e+06
F5,GWO,4.519508e+04,7.720368e+05,2.531153e+05,2.264379e+05,1.528408e+05
F5,IFPOA-X,2.895290e+01,5.134000e+01,3.128467e+01,5.884539e+00,2.902296e+01
F5,L-SHADE,2.390583e+06,1.562964e+07,6.488731e+06,3.206302e+06,6.215442e+06
F5,PSO,3.129390e+05,3.092281e+06,1.449269e+06,6.827035e+05,1.310234e+06
F5,TPE,4.226404e+07,8.627431e+07,5.813062e+07,1.106867e+07,5.670446e+07
F5,WOA,2.780164e+02,6.672014e+06,6.602346e+05,1.566541e+06,5.077760e+04
F6,DE,1.097700e+04,3.717200e+04,2.619335e+04,7.009256e+03,2.543300e+04
F6,FPA,3.419000e+03,1.015500e+04,4.937700e+03,1.617771e+03,4.471500e+03
F6,GWO,3.450000e+02,2.149000e+03,1.187950e+03,5.374348e+02,1.229000e+03
F6,IFPOA-X,0.000000e+00,1.200000e+01,2.700000e+00,3.894666e+00,1.000000e+00
F6,L-SHADE,5.839000e+03,1.136900e+04,8.706250e+03,1.644214e+03,8.210000e+03
F6,PSO,2.383000e+03,5.511000e+03,3.670250e+03,9.725779e+02,3.581000e+03
F6,TPE,1.600200e+04,3.208000e+04,2.543450e+04,4.092540e+03,2.610350e+04
F6,WOA,1.600000e+01,2.730000e+02,1.036000e+02,7.304317e+01,9.450000e+01
F7,DE,6.762129e+00,4.096351e+01,2.042762e+01,9.249567e+00,1.827236e+01
F7,FPA,3.640603e-01,2.043906e+00,9.933037e-01,5.217066e-01,9.304158e-01
F7,GWO,2.042071e-01,8.219180e-01,4.252812e-01,1.752256e-01,3.562810e-01
F7,IFPOA-X,6.471917e-03,1.185855e-01,4.508680e-02,3.049979e-02,4.074366e-02
F7,L-SHADE,1.830980e+00,6.795878e+00,3.236570e+00,1.184302e+00,2.993206e+00
F7,PSO,4.503471e-01,2.353912e+00,9.351587e-01,4.647335e-01,7.968995e-01
F7,TPE,1.678034e+01,4.467751e+01,2.382131e+01,7.314560e+00,2.076499e+01
F7,WOA,9.976037e-03,2.166229e+00,5.989182e-01,6.556607e-01,2.942041e-01
F8,DE,6.160073e+03,8.524367e+03,7.261992e+03,6.814784e+02,7.391625e+03
F8,FPA,8.308484e+03,1.065011e+04,9.252117e+03,6.412032e+02,9.283590e+03
F8,GWO,7.865507e+03,1.050212e+04,9.781035e+03,5.911722e+02,9.869673e+03
F8,IFPOA-X,7.844070e+03,9.210595e+03,8.653001e+03,3.709910e+02,8.747771e+03
F8,L-SHADE,7.937004e+03,9.683705e+03,8.955502e+03,4.482571e+02,9.029638e+03
F8,PSO,5.626592e+03,1.006769e+04,8.193745e+03,9.829633e+02,8.259863e+03
F8,TPE,6.151299e+03,8.060856e+03,7.235187e+03,5.354643e+02,7.356213e+03
F8,WOA,3.094717e+02,5.715916e+03,3.775328e+03,1.044715e+03,3.574450e+03
F9,DE,1.962753e+02,3.077642e+02,2.518022e+02,3.107239e+01,2.427458e+02
F9,FPA,1.768514e+02,2.721646e+02,2.273907e+02,2.849756e+01,2.314968e+02
