Function,Algorithm,Best,Worst,Mean,Std,Median
F5,GWO,8.574671e+05,7.268094e+06,2.705377e+06,1.454519e+06,2.530862e+06
F5,IFPOA-X,4.896972e+01,3.879269e+02,8.418955e+01,8.650075e+01,4.908545e+01
F5,L-SHADE,1.133331e+07,3.669082e+07,2.379396e+07,6.880045e+06,2.225770e+07
F5,PSO,1.515657e+06,6.542791e+06,2.915741e+06,1.328851e+06,2.253742e+06
F5,TPE,9.015727e+07,2.273310e+08,1.577530e+08,3.302292e+07,1.618142e+08
F5,WOA,6.505268e+01,1.976733e+07,2.234981e+06,5.364936e+06,6.679519e+04
F6,DE,3.333200e+04,7.847100e+04,5.346550e+04,1.060347e+04,5.499600e+04
F6,FPA,6.494000e+03,1.398900e+04,1.073615e+04,2.161368e+03,1.055250e+04
F6,GWO,3.039000e+03,9.599000e+03,5.536050e+03,1.726813e+03,5.208000e+03
F6,IFPOA-X,0.000000e+00,2.700000e+01,8.200000e+00,8.218080e+00,4.500000e+00
F6,L-SHADE,1.715800e+04,2.703200e+04,2.201310e+04,3.076902e+03,2.242250e+04
F6,PSO,5.861000e+03,1.305800e+04,8.670900e+03,2.005928e+03,8.245000e+03
F6,TPE,5.199900e+04,7.262300e+04,6.204070e+04,5.394108e+03,6.222500e+04
F6,WOA,1.000000e+00,7.520000e+02,1.761000e+02,1.681825e+02,1.390000e+02
F7,DE,4.309896e+01,1.341512e+02,8.690248e+01,2.648768e+01,8.799321e+01
F7,FPA,1.027457e+00,6.372443e+00,4.058645e+00,1.446809e+00,4.242724e+00
F7,GWO,1.421183e+00,5.301795e+00,2.361699e+00,8.855804e-01,2.222264e+00
F7,IFPOA-X,7.996832e-03,2.284534e-01,8.996525e-02,6.279487e-02,7.325563e-02
F7,L-SHADE,1.065089e+01,2.973063e+01,2.113991e+01,5.855546e+00,2.210889e+01
F7,PSO,1.120664e+00,6.207811e+00,2.626973e+00,1.132340e+00,2.369031e+00
F7,TPE,8.126059e+01,1.445268e+02,1.133385e+02,1.992223e+01,1.148567e+02
F7,WOA,2.608310e-02,1.921754e+01,1.413698e+00,4.263756e+00,2.345850e-01
F8,DE,1.164160e+04,1.551389e+04,1.413078e+04,1.006172e+03,1.442810e+04
F8,FPA,1.559812e+04,1.814392e+04,1.694362e+04,7.022043e+02,1.715420e+04
F8,GWO,1.516384e+04,1.801455e+04,1.699800e+04,8.215969e+02,1.721234e+04
F8,IFPOA-X,1.490956e+04,1.641289e+04,1.587579e+04,3.828343e+02,1.596453e+04
F8,L-SHADE,1.562356e+04,1.723996e+04,1.642549e+04,3.942906e+02,1.646104e+04
F8,PSO,1.446223e+04,1.645346e+04,1.543703e+04,6.541072e+02,1.538107e+04
F8,TPE,1.288617e+04,1.502492e+04,1.431581e+04,6.591154e+02,1.460624e+04
F8,WOA,2.724199e+02,8.320730e+03,6.291520e+03,1.543211e+03,6.356612e+03
F9,DE,4.264040e+02,5.744848e+02,4.978950e+02,4.315349e+01,4.938407e+02
F9,FPA,3.706575e+02,4.712034e+02,4.174847e+02,2.789976e+01,4.183650e+02
F9,GWO,2.533046e+02,5.454203e+02,4.251293e+02,7.724923e+01,4.417277e+02
F9,IFPOA-X,5.505025e-05,3.718944e+01,4.465610e+00,8.986448e+00,4.847332e-01
F9,L-SHADE,4.308853e+02,5.436183e+02,4.953229e+02,2.516771e+01,4.922874e+02
F9,PSO,3.206010e+02,4.523531e+02,3.800295e+02,4.257810e+01,3.637373e+02
F9,TPE,5.161445e+02,6.140377e+02,5.678266e+02,3.200431e+01,5.689711e+02
F9,WOA,1.562982e-01,6.595963e+02,2.480244e+02,2.370599e+02,2.120961e+02
