Function,Algorithm,Run,Best
F1,TPE,17,5.970228e+04
F1,TPE,18,6.228325e+04
F1,TPE,19,5.828311e+04
F1,TPE,20,6.952997e+04
F2,IFPOA-X,1,2.270386e-01
F2,IFPOA-X,2,2.750877e-02
F2,IFPOA-X,3,9.626559e-01
F2,IFPOA-X,4,4.471210e-01
F2,IFPOA-X,5,2.360404e-01
F2,IFPOA-X,6,1.568748e+00
F2,IFPOA-X,7,1.472184e-01
F2,IFPOA-X,8,1.655565e-01
F2,IFPOA-X,9,5.469609e-02
F2,IFPOA-X,10,3.392404e-01
F2,IFPOA-X,11,2.549499e+00
F2,IFPOA-X,12,5.620431e-02
F2,IFPOA-X,13,1.431253e-02
F2,IFPOA-X,14,3.836611e-01
F2,IFPOA-X,15,3.770841e-01
F2,IFPOA-X,16,4.647831e-01
F2,IFPOA-X,17,2.048744e-01
F2,IFPOA-X,18,6.903414e-01
F2,IFPOA-X,19,2.840964e-01
F2,IFPOA-X,20,9.408809e-03
F2,FPA,1,6.818000e+01
F2,FPA,2,5.231305e+01
F2,FPA,3,6.992111e+01
F2,FPA,4,6.316569e+01
F2,FPA,5,5.297849e+01
F2,FPA,6,8.842841e+01
F2,FPA,7,5.740296e+01
F2,FPA,8,6.123210e+01
F2,FPA,9,5.374712e+01
F2,FPA,10,5.813429e+01
F2,FPA,11,5.925315e+01
F2,FPA,12,5.539405e+01
F2,FPA,13,5.120923e+01
F2,FPA,14,5.968205e+01
F2,FPA,15,5.883721e+01
F2,FPA,16,5.961304e+01
F2,FPA,17,8.765739e+01
F2,FPA,18,6.021861e+01
F2,FPA,19,5.109643e+01
F2,FPA,20,4.794568e+01
F2,PSO,1,5.585628e+01
F2,PSO,2,4.772433e+01
F2,PSO,3,5.208920e+01
F2,PSO,4,5.749392e+01
F2,PSO,5,6.368374e+01
F2,PSO,6,4.088279e+01
F2,PSO,7,5.827376e+01
F2,PSO,8,6.906896e+01
F2,PSO,9,4.327998e+01
F2,PSO,10,8.331606e+01
F2,PSO,11,5.419310e+01
F2,PSO,12,5.036440e+01
F2,PSO,13,5.511183e+01
F2,PSO,14,7.456130e+01
F2,PSO,15,5.261871e+01
F2,PSO,16,7.984528e+01
F2,PSO,17,8.080805e+01
F2,PSO,18,4.518289e+01
F2,PSO,19,4.380385e+01
F2,PSO,20,4.650425e+01
F2,DE,1,7.601217e+03
F2,DE,2,1.172624e+02
F2,DE,3,1.012040e+03
F2,DE,4,1.193761e+02
F2,DE,5,1.497692e+02
F2,DE,6,1.287649e+02
F2,DE,7,1.447793e+02
F2,DE,8,1.366903e+05
F2,DE,9,1.260904e+02
F2,DE,10,1.559563e+05
F2,DE,11,8.924530e+04
F2,DE,12,4.068614e+03
F2,DE,13,5.910599e+02
F2,DE,14,1.046196e+05
F2,DE,15,2.632524e+02
F2,DE,16,1.694400e+04
F2,DE,17,9.052681e+04
F2,DE,18,1.008663e+07
F2,DE,19,5.469677e+04
F2,DE,20,1.478656e+02
F2,L-SHADE,1,1.000942e+02
F2,L-SHADE,2,1.033954e+02
F2,L-SHADE,3,1.361643e+02
F2,L-SHADE,4,6.301003e+04
F2,L-SHADE,5,1.056017e+02
F2,L-SHADE,6,2.263025e+02
F2,L-SHADE,7,1.093504e+02
F2,L-SHADE,8,1.268323e+03
F2,L-SHADE,9,1.501798e+02
F2,L-SHADE,10,2.771584e+03
F2,L-SHADE,11,8.562054e+01
F2,L-SHADE,12,1.037834e+02
F2,L-SHADE,13,1.992531e+06
F2,L-SHADE,14,3.844661e+02
F2,L-SHADE,15,1.677308e+02
F2,L-SHADE,16,2.524333e+02
F2,L-SHADE,17,2.107861e+02
F2,L-SHADE,18,2.176500e+02
F2,L-SHADE,19,2.235193e+04
F2,L-SHADE,20,1.707583e+02
F2,GWO,1,5.789663e+01
F2,GWO,2,5.513629e+01
F2,GWO,3,4.022128e+01
F2,GWO,4,4.172584e+01
F2,GWO,5,3.472626e+01
F2,GWO,6,7.898425e+01
F2,GWO,7,6.158567e+01
F2,GWO,8,5.687774e+01
F2,GWO,9,5.191191e+01
F2,GWO,10,3.145795e+01
F2,GWO,11,4.576770e+01
F2,GWO,12,3.624405e+01
F2,GWO,13,5.883502e+01
F2,GWO,14,3.906527e+01
F2,GWO,15,4.297663e+01
F2,GWO,16,3.506258e+01
F2,GWO,17,4.111874e+01
F2,GWO,18,5.185873e+01
F2,GWO,19,5.440777e+01
F2,GWO,20,6.239470e+01
F2,WOA,1,2.209360e+00
F2,WOA,2,4.871808e+00
F2,WOA,3,2.090157e+00
F2,WOA,4,3.302234e+00
F2,WOA,5,1.276917e+00
F2,WOA,6,3.533671e+00
F2,WOA,7,1.737289e-01
F2,WOA,8,9.994519e-01
F2,WOA,9,1.773454e+00
F2,WOA,10,1.330012e+01
F2,WOA,11,1.077108e+00
F2,WOA,12,3.451164e+00
F2,WOA,13,1.211961e+00
F2,WOA,14,5.847713e+00
F2,WOA,15,4.060162e+00
F2,WOA,16,5.115633e+00
F2,WOA,17,5.526201e+00
F2,WOA,18,6.831477e+00
F2,WOA,19,1.847950e+00
F2,WOA,20,4.279819e+00
F2,TPE,1,6.648375e+08
F2,TPE,2,3.298352e+07
F2,TPE,3,2.913163e+11
F2,TPE,4,3.726362e+05
F2,TPE,5,4.967718e+09
F2,TPE,6,4.715484e+09
F2,TPE,7,7.152842e+06
F2,TPE,8,1.859711e+05
F2,TPE,9,5.873338e+02
F2,TPE,10,4.307358e+05
F2,TPE,11,2.540943e+07
F2,TPE,12,7.335333e+10
F2,TPE,13,5.812635e+08
F2,TPE,14,2.722759e+04
F2,TPE,15,1.768412e+05
F2,TPE,16,1.199718e+07
F2,TPE,17,5.997101e+09
F2,TPE,18,1.049763e+08
F2,TPE,19,5.877747e+03
F2,TPE,20,4.387922e+07
F3,IFPOA-X,1,1.155598e+03
F3,IFPOA-X,2,5.741653e+03
F3,IFPOA-X,3,5.417888e+04
F3,IFPOA-X,4,4.840460e+04
F3,IFPOA-X,5,1.346639e+02
F3,IFPOA-X,6,2.745772e+04
F3,IFPOA-X,7,1.289241e+04
F3,IFPOA-X,8,2.558772e+04
F3,IFPOA-X,9,2.290418e+02
F3,IFPOA-X,10,1.252239e+03
F3,IFPOA-X,11,2.272016e+04
F3,IFPOA-X,12,1.355347e+04
F3,IFPOA-X,13,9.235534e+03
F3,IFPOA-X,14,3.528639e+02
F3,IFPOA-X,15,3.098802e+03
F3,IFPOA-X,16,9.447161e+02
F3,IFPOA-X,17,5.413446e+03
F3,IFPOA-X,18,1.827805e+03
F3,IFPOA-X,19,1.957754e+02
F3,IFPOA-X,20,5.529146e+02
F3,FPA,1,3.331942e+04
F3,FPA,2,7.564309e+04
F3,FPA,3,2.623296e+04
F3,FPA,4,2.571910e+04
F3,FPA,5,4.725554e+04
F3,FPA,6,3.520856e+04
F3,FPA,7,6.005405e+04
F3,FPA,8,3.190646e+04
F3,FPA,9,1.903552e+04
F3,FPA,10,3.417036e+04
F3,FPA,11,3.688948e+04
F3,FPA,12,2.304798e+04
F3,FPA,13,4.555926e+04
F3,FPA,14,7.601898e+04
F3,FPA,15,5.550080e+04
F3,FPA,16,2.736146e+04
F3,FPA,17,5.987027e+04
F3,FPA,18,2.073364e+04
F3,FPA,19,3.190827e+04
F3,FPA,20,1.834979e+04
F3,PSO,1,2.808445e+04
F3,PSO,2,1.216010e+04
F3,PSO,3,5.173669e+04
F3,PSO,4,2.885562e+04
F3,PSO,5,2.829830e+04
F3,PSO,6,3.521788e+04
F3,PSO,7,3.674037e+04
F3,PSO,8,5.010868e+04
F3,PSO,9,4.745741e+04
F3,PSO,10,5.368182e+04
F3,PSO,11,2.636996e+04
F3,PSO,12,2.018912e+04
F3,PSO,13,3.936127e+04
F3,PSO,14,3.443576e+04
F3,PSO,15,6.919712e+04
F3,PSO,16,2.121120e+04
F3,PSO,17,1.977591e+04
F3,PSO,18,1.637052e+04
F3,PSO,19,2.150764e+04
F3,PSO,20,1.510604e+04
