Function,Variant,Run,Best
F1,IFPOA-X (base/FPA),2,1.684222e+04
F1,IFPOA-X (base/FPA),3,2.040105e+04
F1,IFPOA-X (base/FPA),4,1.596454e+04
F1,IFPOA-X (base/FPA),5,2.305076e+04
F5,IFPOA-X (no OBL),1,1.920019e+07
F5,IFPOA-X (no OBL),2,2.020744e+07
F5,IFPOA-X (no OBL),3,2.509038e+07
F5,IFPOA-X (no OBL),4,4.179416e+07
F5,IFPOA-X (no OBL),5,1.767100e+07
F5,IFPOA-X (no JADE),1,2.895861e+01
F5,IFPOA-X (no JADE),2,2.895643e+01
F5,IFPOA-X (no JADE),3,2.894427e+01
F5,IFPOA-X (no JADE),4,2.896815e+01
F5,IFPOA-X (no JADE),5,2.874972e+01
F5,IFPOA-X (no Bandit),1,2.907488e+01
F5,IFPOA-X (no Bandit),2,2.893798e+01
F5,IFPOA-X (no Bandit),3,3.160523e+01
F5,IFPOA-X (no Bandit),4,4.784806e+01
F5,IFPOA-X (no Bandit),5,5.682438e+02
F5,IFPOA-X (base/FPA),1,3.235114e+07
F5,IFPOA-X (base/FPA),2,9.755209e+06
F5,IFPOA-X (base/FPA),3,3.559331e+07
F5,IFPOA-X (base/FPA),4,3.120502e+07
F5,IFPOA-X (base/FPA),5,2.063009e+07
F8,IFPOA-X (no OBL),1,8.656140e+03
F8,IFPOA-X (no OBL),2,8.519292e+03
F8,IFPOA-X (no OBL),3,8.976546e+03
F8,IFPOA-X (no OBL),4,8.632004e+03
F8,IFPOA-X (no OBL),5,8.795838e+03
F8,IFPOA-X (no JADE),1,8.978272e+03
F8,IFPOA-X (no JADE),2,8.880724e+03
F8,IFPOA-X (no JADE),3,7.645684e+03
F8,IFPOA-X (no JADE),4,7.646252e+03
F8,IFPOA-X (no JADE),5,9.012414e+03
F8,IFPOA-X (no Bandit),1,9.080773e+03
F8,IFPOA-X (no Bandit),2,9.039341e+03
F8,IFPOA-X (no Bandit),3,7.646666e+03
F8,IFPOA-X (no Bandit),4,8.105515e+03
F8,IFPOA-X (no Bandit),5,9.408945e+03
F8,IFPOA-X (base/FPA),1,8.513191e+03
F8,IFPOA-X (base/FPA),2,8.666108e+03
F8,IFPOA-X (base/FPA),3,8.892398e+03
F8,IFPOA-X (base/FPA),4,8.538229e+03
F8,IFPOA-X (base/FPA),5,8.763296e+03
F9,IFPOA-X (no OBL),1,3.373977e+02
F9,IFPOA-X (no OBL),2,2.655702e+02
F9,IFPOA-X (no OBL),3,2.727703e+02
F9,IFPOA-X (no OBL),4,2.535395e+02
F9,IFPOA-X (no OBL),5,2.973870e+02
F9,IFPOA-X (no JADE),1,6.862352e-07
F9,IFPOA-X (no JADE),2,1.119105e-13
F9,IFPOA-X (no JADE),3,5.531238e-10
F9,IFPOA-X (no JADE),4,4.972478e-09
F9,IFPOA-X (no JADE),5,2.693887e-08
F9,IFPOA-X (no Bandit),1,5.419179e-01
F9,IFPOA-X (no Bandit),2,4.115187e-06
F9,IFPOA-X (no Bandit),3,7.864417e-02
F9,IFPOA-X (no Bandit),4,9.615891e-02
F9,IFPOA-X (no Bandit),5,2.584687e-03
F9,IFPOA-X (base/FPA),1,3.084386e+02
F9,IFPOA-X (base/FPA),2,3.088386e+02
F9,IFPOA-X (base/FPA),3,2.820325e+02
F9,IFPOA-X (base/FPA),4,2.809001e+02
F9,IFPOA-X (base/FPA),5,3.110230e+02
F10,IFPOA-X (no OBL),1,1.843498e+01
F10,IFPOA-X (no OBL),2,1.822422e+01
F10,IFPOA-X (no OBL),3,1.672814e+01
F10,IFPOA-X (no OBL),4,1.848043e+01
F10,IFPOA-X (no OBL),5,1.869164e+01
F10,IFPOA-X (no JADE),1,2.606932e-07
F10,IFPOA-X (no JADE),2,2.527063e-05
F10,IFPOA-X (no JADE),3,3.044065e-05
F10,IFPOA-X (no JADE),4,1.021864e-07
F10,IFPOA-X (no JADE),5,1.405918e-04
F10,IFPOA-X (no Bandit),1,7.629963e-03
F10,IFPOA-X (no Bandit),2,8.915624e-01
F10,IFPOA-X (no Bandit),3,5.998840e-02
F10,IFPOA-X (no Bandit),4,1.034882e-01
F10,IFPOA-X (no Bandit),5,4.559896e-01
F10,IFPOA-X (base/FPA),1,1.998153e+01
F10,IFPOA-X (base/FPA),2,2.013963e+01
F10,IFPOA-X (base/FPA),3,1.889640e+01
F10,IFPOA-X (base/FPA),4,1.975080e+01
F10,IFPOA-X (base/FPA),5,1.938164e+01
F13,IFPOA-X (no OBL),1,6.347431e+07
F13,IFPOA-X (no OBL),2,1.833212e+08
F13,IFPOA-X (no OBL),3,9.464122e+07
F13,IFPOA-X (no OBL),4,2.258858e+08
F13,IFPOA-X (no OBL),5,6.000492e+07
F13,IFPOA-X (no JADE),1,2.994399e+00
F13,IFPOA-X (no JADE),2,2.841091e+00
F13,IFPOA-X (no JADE),3,2.920506e+00
F13,IFPOA-X (no JADE),4,2.993996e+00
F13,IFPOA-X (no JADE),5,2.959112e+00
F13,IFPOA-X (no Bandit),1,4.090647e+00
F13,IFPOA-X (no Bandit),2,3.158390e+00
F13,IFPOA-X (no Bandit),3,4.881973e+00
F13,IFPOA-X (no Bandit),4,2.959601e+00
F13,IFPOA-X (no Bandit),5,5.581812e+00
F13,IFPOA-X (base/FPA),1,7.707128e+07
F13,IFPOA-X (base/FPA),2,1.054685e+08
F13,IFPOA-X (base/FPA),3,9.316492e+07
F13,IFPOA-X (base/FPA),4,2.576605e+07
F13,IFPOA-X (base/FPA),5,6.515448e+07
