Function,Algorithm,Run,Best
F1,IFPOA-X,1,2.062837e-03
F1,IFPOA-X,2,9.207661e-02
F1,IFPOA-X,3,7.568795e-02
F1,IFPOA-X,4,5.247428e-02
F1,IFPOA-X,5,1.271611e-01
F1,IFPOA-X,6,1.261397e-01
F1,IFPOA-X,7,8.553477e+00
F1,IFPOA-X,8,2.449140e+00
F1,IFPOA-X,9,1.729961e-04
F1,IFPOA-X,10,1.182443e-01
F1,IFPOA-X,11,5.167263e+00
F1,IFPOA-X,12,9.151188e-02
F1,IFPOA-X,13,5.935352e+00
F1,IFPOA-X,14,6.955852e-01
F1,IFPOA-X,15,6.365446e+00
F1,IFPOA-X,16,1.534072e+00
F1,IFPOA-X,17,4.583180e-03
F1,IFPOA-X,18,1.551438e-02
F1,IFPOA-X,19,6.670205e-01
F1,IFPOA-X,20,4.140586e+00
F1,FPA,1,5.828862e+03
F1,FPA,2,4.449286e+03
F1,FPA,3,4.493886e+03
F1,FPA,4,3.539533e+03
F1,FPA,5,4.800558e+03
F1,FPA,6,3.492642e+03
F1,FPA,7,9.321645e+03
F1,FPA,8,3.845807e+03
F1,FPA,9,3.797169e+03
F1,FPA,10,5.244129e+03
F1,FPA,11,6.189413e+03
F1,FPA,12,3.649463e+03
F1,FPA,13,4.366230e+03
F1,FPA,14,3.558718e+03
F1,FPA,15,6.365098e+03
F1,FPA,16,3.578736e+03
F1,FPA,17,5.032014e+03
F1,FPA,18,4.399195e+03
F1,FPA,19,4.958016e+03
F1,FPA,20,4.914060e+03
F1,PSO,1,3.074844e+03
F1,PSO,2,2.580037e+03
F1,PSO,3,2.871082e+03
F1,PSO,4,2.247375e+03
F1,PSO,5,3.315913e+03
F1,PSO,6,3.184225e+03
F1,PSO,7,3.642739e+03
F1,PSO,8,4.119924e+03
F1,PSO,9,3.469649e+03
F1,PSO,10,4.558539e+03
F1,PSO,11,3.884319e+03
F1,PSO,12,2.532530e+03
F1,PSO,13,2.044889e+03
F1,PSO,14,4.810448e+03
F1,PSO,15,3.690203e+03
F1,PSO,16,3.882208e+03
F1,PSO,17,4.970826e+03
F1,PSO,18,4.345254e+03
F1,PSO,19,4.673326e+03
F1,PSO,20,4.418836e+03
F1,DE,1,3.371551e+04
F1,DE,2,1.097344e+04
F1,DE,3,2.966843e+04
F1,DE,4,2.550520e+04
F1,DE,5,1.939421e+04
F1,DE,6,3.053460e+04
F1,DE,7,2.159079e+04
F1,DE,8,2.138468e+04
F1,DE,9,2.757956e+04
F1,DE,10,2.767248e+04
F1,DE,11,2.419117e+04
F1,DE,12,2.641747e+04
F1,DE,13,2.299908e+04
F1,DE,14,2.163081e+04
F1,DE,15,1.846822e+04
F1,DE,16,2.563057e+04
F1,DE,17,1.581263e+04
F1,DE,18,2.574823e+04
F1,DE,19,3.394831e+04
F1,DE,20,2.451686e+04
F1,L-SHADE,1,8.909710e+03
F1,L-SHADE,2,6.745710e+03
F1,L-SHADE,3,7.480934e+03
F1,L-SHADE,4,1.021674e+04
F1,L-SHADE,5,6.181403e+03
F1,L-SHADE,6,7.816583e+03
F1,L-SHADE,7,5.770630e+03
F1,L-SHADE,8,7.334089e+03
F1,L-SHADE,9,1.076031e+04
F1,L-SHADE,10,8.347170e+03
F1,L-SHADE,11,6.530252e+03
F1,L-SHADE,12,5.122184e+03
F1,L-SHADE,13,6.518965e+03
F1,L-SHADE,14,8.183958e+03
F1,L-SHADE,15,7.584969e+03
F1,L-SHADE,16,7.670691e+03
F1,L-SHADE,17,9.203097e+03
F1,L-SHADE,18,9.232809e+03
F1,L-SHADE,19,8.357360e+03
F1,L-SHADE,20,7.522312e+03
F1,GWO,1,1.199859e+03
F1,GWO,2,1.930641e+03
F1,GWO,3,6.781695e+02
F1,GWO,4,1.293899e+03
F1,GWO,5,6.100292e+02
F1,GWO,6,1.051243e+03
F1,GWO,7,1.805461e+03
F1,GWO,8,1.008313e+03
F1,GWO,9,8.502378e+02
F1,GWO,10,3.656548e+02
F1,GWO,11,9.005913e+02
F1,GWO,12,1.349422e+03
F1,GWO,13,1.873446e+03
F1,GWO,14,1.424350e+03
F1,GWO,15,6.249470e+02
F1,GWO,16,1.847956e+03
F1,GWO,17,1.133515e+03
F1,GWO,18,1.578157e+03
F1,GWO,19,3.102360e+03
F1,GWO,20,9.788541e+02
F1,WOA,1,5.739366e+01
F1,WOA,2,2.498551e+02
F1,WOA,3,2.815922e+01
F1,WOA,4,1.287290e+02
F1,WOA,5,8.683524e+01
F1,WOA,6,1.634926e+02
F1,WOA,7,1.330844e+02
F1,WOA,8,6.274687e+01
F1,WOA,9,4.331717e+01
F1,WOA,10,1.893949e+01
F1,WOA,11,8.650982e+01
F1,WOA,12,4.352678e+01
F1,WOA,13,6.791217e+00
F1,WOA,14,1.240666e+01
F1,WOA,15,3.300055e+01
F1,WOA,16,5.170783e+01
F1,WOA,17,5.420714e+01
F1,WOA,18,1.666396e+01
F1,WOA,19,1.591438e+02
F1,WOA,20,4.567429e+01
F1,TPE,1,2.787633e+04
F1,TPE,2,2.750912e+04
F1,TPE,3,3.373223e+04
F1,TPE,4,2.822008e+04
F1,TPE,5,2.797709e+04
F1,TPE,6,3.284532e+04
F1,TPE,7,1.933206e+04
F1,TPE,8,2.761413e+04
F1,TPE,9,2.893577e+04
F1,TPE,10,2.567188e+04
F1,TPE,11,3.572129e+04
F1,TPE,12,2.886626e+04
F1,TPE,13,3.675679e+04
F1,TPE,14,2.897184e+04
F1,TPE,15,3.133978e+04
F1,TPE,16,2.644766e+04
F1,TPE,17,2.203046e+04
F1,TPE,18,2.282475e+04
F1,TPE,19,3.429004e+04
F1,TPE,20,2.427921e+04
F2,IFPOA-X,1,2.118837e-02
F2,IFPOA-X,2,1.659209e-02
F2,IFPOA-X,3,7.377428e-04
F2,IFPOA-X,4,4.242962e-01
F2,IFPOA-X,5,4.784794e-01
F2,IFPOA-X,6,6.920285e-03
F2,IFPOA-X,7,2.339816e-01
F2,IFPOA-X,8,1.784970e-01
F2,IFPOA-X,9,2.569431e-02
F2,IFPOA-X,10,3.842091e-02
F2,IFPOA-X,11,9.378689e-03
F2,IFPOA-X,12,3.388554e-02
F2,IFPOA-X,13,3.326462e-01
F2,IFPOA-X,14,8.857529e-02
F2,IFPOA-X,15,4.293665e-03
F2,IFPOA-X,16,1.515266e-02
F2,IFPOA-X,17,1.887703e-01
F2,IFPOA-X,18,2.370353e-01
F2,IFPOA-X,19,2.232052e-02
F2,IFPOA-X,20,2.394335e-03
F2,FPA,1,3.386393e+01
F2,FPA,2,3.192999e+01
F2,FPA,3,3.711993e+01
F2,FPA,4,3.555015e+01
F2,FPA,5,3.217922e+01
F2,FPA,6,4.707318e+01
F2,FPA,7,4.277124e+01
F2,FPA,8,3.201226e+01
F2,FPA,9,3.602453e+01
F2,FPA,10,3.252937e+01
F2,FPA,11,4.643261e+01
F2,FPA,12,3.464272e+01
F2,FPA,13,2.986191e+01
F2,FPA,14,2.602779e+01
F2,FPA,15,3.314342e+01
F2,FPA,16,2.966850e+01
F2,FPA,17,4.230565e+01
F2,FPA,18,2.764931e+01
F2,FPA,19,2.730475e+01
F2,FPA,20,3.506739e+01
F2,PSO,1,2.950212e+01
F2,PSO,2,2.683618e+01
F2,PSO,3,2.694505e+01
F2,PSO,4,4.738956e+01
F2,PSO,5,2.789439e+01
F2,PSO,6,3.455294e+01
F2,PSO,7,3.743184e+01
F2,PSO,8,2.967280e+01
F2,PSO,9,3.576580e+01
F2,PSO,10,3.027891e+01
F2,PSO,11,3.067105e+01
F2,PSO,12,2.312019e+01
F2,PSO,13,2.724814e+01
F2,PSO,14,2.452012e+01
F2,PSO,15,2.734730e+01
F2,PSO,16,3.574833e+01
F2,PSO,17,4.165273e+01
F2,PSO,18,2.978514e+01
F2,PSO,19,3.886229e+01
F2,PSO,20,2.959561e+01
F2,DE,1,5.620092e+01
F2,DE,2,8.019711e+01
F2,DE,3,8.260894e+01
F2,DE,4,9.048111e+01
F2,DE,5,6.095419e+01
F2,DE,6,7.082249e+01
F2,DE,7,8.281137e+01
F2,DE,8,6.159395e+01
F2,DE,9,7.715676e+01
F2,DE,10,6.262587e+01
F2,DE,11,7.712255e+01
F2,DE,12,6.126694e+01
F2,DE,13,6.842200e+01
F2,DE,14,7.200573e+01
F2,DE,15,5.965741e+01
F2,DE,16,6.281003e+01
F2,DE,17,8.279377e+01
F2,DE,18,7.704807e+01
F2,DE,19,5.441116e+01
F2,DE,20,5.545859e+01
F2,L-SHADE,1,5.474489e+01
F2,L-SHADE,2,4.243367e+01
F2,L-SHADE,3,5.178977e+01
F2,L-SHADE,4,5.390274e+01
F2,L-SHADE,5,5.822953e+01
F2,L-SHADE,6,5.937012e+01
F2,L-SHADE,7,7.615057e+01
F2,L-SHADE,8,4.141499e+01
F2,L-SHADE,9,3.935255e+01
F2,L-SHADE,10,5.296629e+01
F2,L-SHADE,11,7.024170e+01
F2,L-SHADE,12,5.822068e+01
F2,L-SHADE,13,6.284495e+01
F2,L-SHADE,14,5.796350e+01
F2,L-SHADE,15,6.270033e+01
F2,L-SHADE,16,5.282666e+01
F2,L-SHADE,17,5.247931e+01
F2,L-SHADE,18,6.203074e+01
F2,L-SHADE,19,5.725311e+01
F2,L-SHADE,20,5.414089e+01
F2,GWO,1,1.353397e+01
F2,GWO,2,1.739011e+01
F2,GWO,3,1.542961e+01
